time_s,commanded_displacement_in,measured_displacement_in,displacement_along_dir_in,vertical_displacement_in,measured_pull_force_n,measured_pull_force_lbf,measured_vertical_force_lbf,reaction_force_x_n,reaction_force_y_n,reaction_force_z_n,target_x_m,target_y_m,target_z_m,pull_point_x_m,pull_point_y_m,pull_point_z_m,base_bottom_y_m,pull_angle_deg,pull_height_in,force_stop_threshold_lbf,grain_size_in
0.0125,0.0125,0.0125,0.0125,0.0,14.007733515912866,3.149063766938818,2.65382651587801,14.007733515912866,11.804808471064826,0.28590327634755486,0.00031926648409822165,0.3682064885262271,6.363852096716831e-07,0.00031926648409822165,0.3682064885262271,6.363852096716831e-07,-0.07629345479726765,0.0,17.5,500.0,0.8
0.024999999999999998,0.024999999999999998,0.024999999999999998,0.024999999999999998,0.0,11.066145061055025,2.487768375367065,2.2312653466910395,11.066145061055025,9.925162744520014,0.1391749595164372,0.0006367664840982216,0.3682064885262271,6.363852096716831e-07,0.0006367664840982216,0.3682064885262271,6.363852096716831e-07,-0.07629342936974004,0.0,17.5,500.0,0.8
0.0375,0.0375,0.0375,0.0375,0.0,7.589987869162787,1.7062971510083071,1.5232092815023082,7.589987869162787,6.7755724505352575,0.11091648194896146,0.0009542664840982215,0.3682064885262271,6.363852096716831e-07,0.0009542664840982215,0.3682064885262271,6.363852096716831e-07,-0.07629342893538434,0.0,17.5,500.0,0.8
0.049999999999999996,0.049999999999999996,0.049999999999999996,0.049999999999999996,0.0,5.820997335974451,1.308612258888332,1.1573685251747774,5.820997335974451,5.1482316904979815,0.0743460644078677,0.0012717664840982213,0.3682064885262271,6.363852096716865e-07,0.0012717664840982213,0.3682064885262271,6.363852096716865e-07,-0.07629342854192749,0.0,17.5,500.0,0.8
0.06249999999999999,0.06249999999999999,0.06249999999999999,0.06249999999999999,0.0,2.436915119555139,0.5478403124516009,0.5010742620383943,2.436915119555139,2.2288893632470193,-0.0009242044553503439,0.0015892664840982213,0.3682064885262271,6.363852096716831e-07,0.0015892664840982213,0.3682064885262271,6.363852096716831e-07,-0.07629342781466573,0.0,17.5,500.0,0.8
0.075,0.075,0.075,0.075,0.0,0.5073043491898547,0.11404655457140457,0.0495641710956085,0.5073043491898547,0.22047241720967148,-0.002275644060295919,0.0019067664840982212,0.3682064885262271,6.363852096716848e-07,0.0019067664840982212,0.3682064885262271,6.363852096716848e-07,-0.07629342715128473,0.0,17.5,500.0,0.8
0.0875,0.0875,0.0875,0.0875,0.0,0.4733471655077446,0.10641267599717683,0.02890968785040137,0.4733471655077446,0.12859669838642362,-0.018532241103958007,0.002224266484098221,0.3682064885262271,6.363852096716865e-07,0.002224266484098221,0.3682064885262271,6.363852096716865e-07,-0.07629342629322666,0.0,17.5,500.0,0.8
0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.0,0.4460714210512698,0.10028084471365105,0.007848957233740747,0.4460714210512698,0.034913901224335894,-0.01213312173406991,0.002541766484098221,0.3682064885262271,6.363852096716814e-07,0.002541766484098221,0.3682064885262271,6.363852096716814e-07,-0.07629342549345108,0.0,17.5,500.0,0.8
0.11249999999999999,0.1125,0.1125,0.1125,0.0,0.43477967117965516,0.0977423583592638,0.009819332713335979,0.43477967117965516,-0.043678568022839384,-0.009533081673094135,0.002859266484098221,0.3682064885262271,6.363852096716831e-07,0.002859266484098221,0.3682064885262271,6.363852096716831e-07,-0.07629342453190428,0.0,17.5,500.0,0.8
0.12499999999999999,0.12499999999999999,0.12499999999999999,0.12499999999999999,0.0,0.42078510365724825,0.09459625442540992,0.031014044825872736,0.42078510365724825,-0.1379573445709275,-0.007696519515209235,0.003176766484098221,0.3682064885262271,6.363852096716831e-07,0.003176766484098221,0.3682064885262271,6.363852096716831e-07,-0.07629342355647,0.0,17.5,500.0,0.8
0.1375,0.1375,0.1375,0.1375,0.0,0.38572187018299603,0.08671372596639473,0.05833653139922251,0.38572187018299603,-0.25949381992901027,-0.0057527855061818385,0.0034942664840982214,0.3682064885262271,6.363852096716865e-07,0.0034942664840982214,0.3682064885262271,6.363852096716865e-07,-0.07629342246926937,0.0,17.5,500.0,0.8
0.15000000000000005,0.15000000000000005,0.15000000000000005,0.15000000000000005,0.0,0.36408721936767763,0.08185006298226545,0.07090798778444724,0.36408721936767763,-0.31541444395699947,-0.003629992438177232,0.0038117664840982227,0.3682064885262271,6.363852096716831e-07,0.0038117664840982227,0.3682064885262271,6.363852096716831e-07,-0.07629342149593273,0.0,17.5,500.0,0.8
0.1625000000000001,0.1625000000000001,0.1625000000000001,0.1625000000000001,0.0,0.31808090669157885,0.07150743245362355,0.07544236399466295,0.31808090669157885,-0.335584354226978,-0.01163724166249458,0.004129266484098224,0.3682064885262271,6.363852096716848e-07,0.004129266484098224,0.3682064885262271,6.363852096716848e-07,-0.07629342068403747,0.0,17.5,500.0,0.8
0.17500000000000013,0.17500000000000013,0.17500000000000013,0.17500000000000013,0.0,0.4048236016212575,0.09100796602241035,0.024449777080473637,0.4048236016212575,-0.10875802689752354,-0.11465792627185209,0.004446766484098225,0.3682064885262271,6.363852096716831e-07,0.004446766484098225,0.3682064885262271,6.363852096716831e-07,-0.07629342011027242,0.0,17.5,500.0,0.8
